" Frequency Hz",Channel A V,Channel B V,,
100,0.01369,0.001979,,
200,0.02534,0.001979,,
300,0.03619,0.001970,,
400,0.04524,0.001970,,
500,0.05791,0.001943,,
700,0.07782,0.001898,,
900,0.09773,0.001870,,
2000,0.17550,0.001536,,
3000,0.21360,0.001283,,
6000,0.25880,0.777100,,
20000,0.27690,0.316200,,
30000,0.27150,0.433700,,
40000,0.26420,0.551200,,
70000,0.23350,0.849400,,
100000,0.20450,1.012000,,
